time,x_g,y_g,z_g
17,0.36,0.07,1.02
526,0.30,0.49,0.82
1036,0.30,0.15,0.88
1546,0.70,0.62,0.84
2056,-0.30,0.07,1.02
2566,0.16,-0.08,0.92
3075,-0.15,-0.12,1.30
3587,-0.20,0.06,1.04
4097,-0.15,0.24,0.90
4606,-0.20,0.11,1.04
5116,-0.01,0.17,0.84
5626,-0.13,0.10,1.05
6136,-0.10,0.18,1.08
6646,-0.15,0.20,1.03
7155,-0.10,0.07,1.15
7665,-0.12,0.10,1.04
8175,-0.03,0.19,1.10
8685,-0.15,-0.04,0.93
9195,-0.11,0.08,1.07
9705,-0.17,0.03,1.05
10215,-0.27,-0.18,0.93
10725,-0.43,-0.45,1.08
11235,-0.08,0.26,0.83
11745,0.06,0.20,0.87
12255,-0.31,0.15,1.07
12765,-0.12,0.03,0.80
13275,-0.34,0.01,1.13
13785,-0.32,0.21,1.04
14295,0.02,0.18,1.01
14804,0.30,0.28,1.14
15315,-0.41,0.18,0.94
15825,-0.15,-0.06,1.06
16335,-0.19,0.29,1.13
16845,-0.13,0.13,0.87
17355,-0.10,0.10,0.99
17865,0.18,0.13,1.08
18375,-0.19,0.15,0.98
18885,-0.12,0.15,1.06
19395,-0.14,0.11,1.00
19905,-0.09,0.16,0.96
20415,-0.05,0.10,1.04
20925,-0.16,0.08,1.03
21435,-0.06,0.17,1.04
21945,0.10,0.10,1.06
22455,-0.19,0.34,1.14
22965,-0.17,0.18,0.81
23475,-0.31,-0.09,1.12
23985,-0.25,0.39,0.97
24495,-0.19,0.09,1.02
25005,-0.03,0.04,1.17
25515,-0.11,0.32,1.18
26023,-0.34,0.37,0.75
26535,-0.07,0.07,0.97
27045,-0.23,-0.13,1.20
27555,-0.24,0.22,1.04
28065,-0.13,0.17,0.92
28575,-0.15,0.14,1.04
29085,-0.17,0.16,0.99
29595,-0.09,0.18,0.96
30104,-0.13,0.13,0.99
30614,-0.05,0.03,1.12
31124,-0.07,0.07,1.01
31634,-0.03,0.08,1.07
32144,-0.14,0.12,1.08
32654,-0.17,0.25,0.94
33164,-0.16,0.24,0.96
33674,-0.13,0.21,1.00
34184,-0.18,0.18,1.11
34694,0.02,0.14,1.03
35204,-0.13,0.21,0.97
35714,0.05,0.14,1.07
36222,-0.08,0.15,1.04
36732,0.03,0.18,1.01
37242,-0.04,0.09,1.08
37754,-0.01,0.13,0.99
38264,-0.11,-0.00,0.98
38774,-0.21,0.04,0.98
39284,-0.23,0.00,1.01
39794,-0.29,-0.03,0.97
40304,-0.23,-0.10,1.07
40814,-0.14,-0.16,1.05
41324,-0.20,0.02,1.01
41833,-0.14,-0.14,1.29
42344,-0.31,-0.12,0.93
42854,-0.26,0.01,1.21
43364,0.03,0.13,0.85
43873,0.01,-0.02,0.98
44383,-0.27,0.00,0.90
44893,-0.15,0.11,1.12
45403,0.10,0.16,0.83
45913,-0.20,0.15,1.17
46423,-0.29,-0.02,1.02
46932,-0.09,0.03,1.13
47442,0.02,0.20,0.96
47952,-0.25,0.18,0.88
48462,0.01,-0.06,1.02
48974,0.02,0.03,1.04
49483,-0.13,0.04,1.06
49993,-0.27,-0.02,0.95
50503,-0.21,0.03,1.02
51013,-0.08,0.04,1.02
51523,0.11,-0.06,1.13
52033,-0.36,0.12,0.90
52543,-0.33,-0.17,1.12
53053,-0.06,0.08,1.07
53563,-0.11,-0.06,1.04
54073,-0.10,0.27,0.93
54583,-0.33,0.08,0.83
55093,-0.14,0.08,1.15
55603,0.21,0.05,0.91
56112,-0.11,0.13,1.11
56622,-0.39,0.02,1.03
57132,-0.20,0.06,1.18
57641,0.03,0.06,0.98
58151,-0.18,0.06,1.11
58661,-0.35,-0.08,0.93
59171,-0.02,0.19,0.90
59681,0.11,0.11,0.98
60191,-0.28,0.01,1.08
60702,-0.29,0.04,1.09
61212,0.09,0.15,1.00
61722,-0.34,0.17,1.05
62232,-0.15,0.13,1.06
62742,0.07,0.19,0.94
63252,-0.48,0.13,0.99
63762,-0.17,0.10,0.93
64271,0.21,0.03,1.16
64781,-0.22,0.11,1.17
65291,-0.27,-0.08,1.01
65801,-0.10,-0.03,1.05
66311,0.07,0.17,0.88
66821,-0.24,0.03,1.07
67331,-0.19,0.23,0.96
67841,0.06,0.18,0.98
68350,-0.35,0.29,0.98
68860,-0.26,0.16,1.04
69370,-0.02,0.09,1.11
69880,-0.41,0.12,1.04
70389,-0.31,0.15,1.04
70899,0.13,0.21,0.91
71409,-0.60,0.19,1.00
71921,-0.20,0.08,1.13
72431,0.05,0.06,0.99
72941,-0.51,-0.00,1.06
73451,0.01,0.09,0.93
73960,-0.22,0.12,1.03
74470,-0.20,0.10,1.05
74980,-0.03,0.28,1.02
75490,-0.06,0.27,1.04
76000,-0.21,0.09,1.00
76510,0.06,0.18,1.13
77020,-0.24,0.17,1.08
77530,-0.09,0.13,0.88
78040,-0.15,0.20,1.13
78550,-0.26,0.21,1.10
79059,-0.16,0.20,0.87
79568,-0.09,0.19,0.86
80078,-0.36,-0.09,1.05
80588,-0.06,-0.01,0.98
81098,-0.48,-0.00,0.86
81608,-0.33,0.07,0.99
82118,-0.33,0.14,1.03
82628,-0.38,0.01,1.05
83140,-0.00,0.18,1.00
83650,-0.10,0.18,1.01
84160,-0.20,0.20,0.92
84670,-0.18,0.04,0.99
85180,-0.20,0.10,0.91
85690,-0.21,0.15,1.00
86200,-0.01,0.20,0.91
86710,-0.44,0.09,1.07
87220,-0.11,0.33,1.08
87730,-0.31,0.29,0.89
88240,-0.39,-0.04,1.06
88750,0.06,0.20,0.93
89260,-0.39,0.22,0.98
89776,-0.04,0.17,1.02
90286,-0.16,0.18,0.86
90796,-0.34,0.10,0.94
91305,0.07,0.31,0.98
91815,-0.17,0.25,0.88
92325,-0.21,0.18,0.96
92835,0.09,0.29,0.89
93345,-0.44,0.25,1.09
93855,-0.02,0.20,1.07
94364,-0.22,0.33,1.03
94876,-0.02,0.23,1.02
95386,-0.02,0.27,0.86
95896,-0.16,0.12,1.13
96406,-0.03,0.23,1.05
96916,0.07,0.42,0.80
97425,-0.20,0.31,0.94
97935,-0.02,0.43,0.87
98445,-0.28,0.46,0.97
98955,-0.18,0.45,1.06
99465,-0.02,0.37,0.91
99975,-0.22,0.37,0.94
100485,-0.14,0.39,1.01
100995,-0.10,0.39,0.96
101505,-0.13,0.27,1.02
102014,-0.14,0.28,1.10
102524,-0.07,0.38,0.82
103034,-0.13,0.33,0.95
103544,-0.17,0.27,1.09
104054,-0.11,0.34,0.96
104564,-0.16,0.22,1.05
105074,-0.20,0.14,0.99
105584,-0.19,0.21,1.01
106096,-0.19,0.23,0.99
106606,-0.14,0.29,0.90
107116,-0.25,0.25,0.99
107626,-0.14,0.24,0.95
108136,-0.16,0.24,0.99
108646,-0.11,0.29,1.00
109156,-0.06,0.27,1.00
109666,-0.12,0.22,1.02
110176,-0.10,0.30,1.05
110686,-0.15,0.28,1.03
111196,0.19,0.03,1.18
111706,-0.35,0.40,1.06
112216,0.34,0.31,0.66
112726,-0.21,0.07,1.01
113235,-0.04,0.05,0.94
113745,0.44,0.11,0.78
114255,-0.02,-0.04,1.25
114765,0.03,0.15,0.92
115275,-0.03,0.37,1.08